img,plate,source_img,augment_type,plate_type,clean_plate,group_id,split
1_low.png,59-P1 332.02,1.png,low,2line,59P133202,59P133202_2line,train
1_medium.png,59-P1 332.02,1.png,medium,2line,59P133202,59P133202_2line,train
1_high.png,59-P1 332.02,1.png,high,2line,59P133202,59P133202_2line,train
1_occluded.png,59-P1 332.02,1.png,occluded,2line,59P133202,59P133202_2line,train
2_low.png,54-T1 4995,2.png,low,2line,54T14995,54T14995_2line,train
2_medium.png,54-T1 4995,2.png,medium,2line,54T14995,54T14995_2line,train
2_high.png,54-T1 4995,2.png,high,2line,54T14995,54T14995_2line,train
2_occluded.png,54-T1 4995,2.png,occluded,2line,54T14995,54T14995_2line,train
5_low.png,60-FP 1469,5.png,low,2line,60FP1469,60FP1469_2line,train
5_medium.png,60-FP 1469,5.png,medium,2line,60FP1469,60FP1469_2line,train
5_high.png,60-FP 1469,5.png,high,2line,60FP1469,60FP1469_2line,train
5_occluded.png,60-FP 1469,5.png,occluded,2line,60FP1469,60FP1469_2line,train
9_low.png,59-D1 856.19,9.png,low,2line,59D185619,59D185619_2line,train
9_medium.png,59-D1 856.19,9.png,medium,2line,59D185619,59D185619_2line,train
9_high.png,59-D1 856.19,9.png,high,2line,59D185619,59D185619_2line,train
9_occluded.png,59-D1 856.19,9.png,occluded,2line,59D185619,59D185619_2line,train
10_low.png,59-C2 550.06,10.png,low,2line,59C255006,59C255006_2line,train
10_medium.png,59-C2 550.06,10.png,medium,2line,59C255006,59C255006_2line,train
10_high.png,59-C2 550.06,10.png,high,2line,59C255006,59C255006_2line,train
10_occluded.png,59-C2 550.06,10.png,occluded,2line,59C255006,59C255006_2line,train
11_low.png,54-P1 1782,11.png,low,2line,54P11782,54P11782_2line,train
11_medium.png,54-P1 1782,11.png,medium,2line,54P11782,54P11782_2line,train
11_high.png,54-P1 1782,11.png,high,2line,54P11782,54P11782_2line,train
11_occluded.png,54-P1 1782,11.png,occluded,2line,54P11782,54P11782_2line,train
12_low.png,54-L3 6961,12.png,low,2line,54L36961,54L36961_2line,train
12_medium.png,54-L3 6961,12.png,medium,2line,54L36961,54L36961_2line,train
12_high.png,54-L3 6961,12.png,high,2line,54L36961,54L36961_2line,train
12_occluded.png,54-L3 6961,12.png,occluded,2line,54L36961,54L36961_2line,train
13_low.png,59-K1 223.23,13.png,low,2line,59K122323,59K122323_2line,train
13_medium.png,59-K1 223.23,13.png,medium,2line,59K122323,59K122323_2line,train
13_high.png,59-K1 223.23,13.png,high,2line,59K122323,59K122323_2line,train
13_occluded.png,59-K1 223.23,13.png,occluded,2line,59K122323,59K122323_2line,train
14_low.png,59-M1 217.04,14.png,low,2line,59M121704,59M121704_2line,train
14_medium.png,59-M1 217.04,14.png,medium,2line,59M121704,59M121704_2line,train
14_high.png,59-M1 217.04,14.png,high,2line,59M121704,59M121704_2line,train
14_occluded.png,59-M1 217.04,14.png,occluded,2line,59M121704,59M121704_2line,train
15_low.png,54-P2 4739,15.png,low,2line,54P24739,54P24739_2line,train
15_medium.png,54-P2 4739,15.png,medium,2line,54P24739,54P24739_2line,train
15_high.png,54-P2 4739,15.png,high,2line,54P24739,54P24739_2line,train
15_occluded.png,54-P2 4739,15.png,occluded,2line,54P24739,54P24739_2line,train
16_low.png,63-B3 044.26,16.png,low,2line,63B304426,63B304426_2line,train
16_medium.png,63-B3 044.26,16.png,medium,2line,63B304426,63B304426_2line,train
16_high.png,63-B3 044.26,16.png,high,2line,63B304426,63B304426_2line,train
16_occluded.png,63-B3 044.26,16.png,occluded,2line,63B304426,63B304426_2line,train
17_low.png,60-C1 237.74,17.png,low,2line,60C123774,60C123774_2line,train
17_medium.png,60-C1 237.74,17.png,medium,2line,60C123774,60C123774_2line,train
17_high.png,60-C1 237.74,17.png,high,2line,60C123774,60C123774_2line,train
17_occluded.png,60-C1 237.74,17.png,occluded,2line,60C123774,60C123774_2line,train
18_low.png,59-N1 695.75,18.png,low,2line,59N169575,59N169575_2line,train
18_medium.png,59-N1 695.75,18.png,medium,2line,59N169575,59N169575_2line,train
18_high.png,59-N1 695.75,18.png,high,2line,59N169575,59N169575_2line,train
18_occluded.png,59-N1 695.75,18.png,occluded,2line,59N169575,59N169575_2line,train
19_low.png,54-V2 5804,19.png,low,2line,54V25804,54V25804_2line,train
19_medium.png,54-V2 5804,19.png,medium,2line,54V25804,54V25804_2line,train
19_high.png,54-V2 5804,19.png,high,2line,54V25804,54V25804_2line,train
19_occluded.png,54-V2 5804,19.png,occluded,2line,54V25804,54V25804_2line,train
20_low.png,60-U2 3465,20.png,low,2line,60U23465,60U23465_2line,train
20_medium.png,60-U2 3465,20.png,medium,2line,60U23465,60U23465_2line,train
20_high.png,60-U2 3465,20.png,high,2line,60U23465,60U23465_2line,train
20_occluded.png,60-U2 3465,20.png,occluded,2line,60U23465,60U23465_2line,train
21_low.png,52-T8 5761,21.png,low,2line,52T85761,52T85761_2line,train
21_medium.png,52-T8 5761,21.png,medium,2line,52T85761,52T85761_2line,train
21_high.png,52-T8 5761,21.png,high,2line,52T85761,52T85761_2line,train
21_occluded.png,52-T8 5761,21.png,occluded,2line,52T85761,52T85761_2line,train
24_low.png,54-T3 0255,24.png,low,2line,54T30255,54T30255_2line,train
24_medium.png,54-T3 0255,24.png,medium,2line,54T30255,54T30255_2line,train
24_high.png,54-T3 0255,24.png,high,2line,54T30255,54T30255_2line,train
24_occluded.png,54-T3 0255,24.png,occluded,2line,54T30255,54T30255_2line,train
26_low.png,59-P2 189.00,26.png,low,2line,59P218900,59P218900_2line,train
26_medium.png,59-P2 189.00,26.png,medium,2line,59P218900,59P218900_2line,train
26_high.png,59-P2 189.00,26.png,high,2line,59P218900,59P218900_2line,train
26_occluded.png,59-P2 189.00,26.png,occluded,2line,59P218900,59P218900_2line,train
27_low.png,54-S8 4120,27.png,low,2line,54S84120,54S84120_2line,train
27_medium.png,54-S8 4120,27.png,medium,2line,54S84120,54S84120_2line,train
27_high.png,54-S8 4120,27.png,high,2line,54S84120,54S84120_2line,train
27_occluded.png,54-S8 4120,27.png,occluded,2line,54S84120,54S84120_2line,train
28_low.png,59-H1 439.86,28.png,low,2line,59H143986,59H143986_2line,train
28_medium.png,59-H1 439.86,28.png,medium,2line,59H143986,59H143986_2line,train
28_high.png,59-H1 439.86,28.png,high,2line,59H143986,59H143986_2line,train
28_occluded.png,59-H1 439.86,28.png,occluded,2line,59H143986,59H143986_2line,train
29_low.png,54-F2 8259,29.png,low,2line,54F28259,54F28259_2line,train
29_medium.png,54-F2 8259,29.png,medium,2line,54F28259,54F28259_2line,train
29_high.png,54-F2 8259,29.png,high,2line,54F28259,54F28259_2line,train
29_occluded.png,54-F2 8259,29.png,occluded,2line,54F28259,54F28259_2line,train
32_low.png,54-T1 7232,32.png,low,2line,54T17232,54T17232_2line,train
32_medium.png,54-T1 7232,32.png,medium,2line,54T17232,54T17232_2line,train
32_high.png,54-T1 7232,32.png,high,2line,54T17232,54T17232_2line,train
32_occluded.png,54-T1 7232,32.png,occluded,2line,54T17232,54T17232_2line,train
34_low.png,59-A3 086.40,34.png,low,2line,59A308640,59A308640_2line,train
34_medium.png,59-A3 086.40,34.png,medium,2line,59A308640,59A308640_2line,train
34_high.png,59-A3 086.40,34.png,high,2line,59A308640,59A308640_2line,train
34_occluded.png,59-A3 086.40,34.png,occluded,2line,59A308640,59A308640_2line,train
35_low.png,59-M1 600.77,35.png,low,2line,59M160077,59M160077_2line,train
35_medium.png,59-M1 600.77,35.png,medium,2line,59M160077,59M160077_2line,train
35_high.png,59-M1 600.77,35.png,high,2line,59M160077,59M160077_2line,train
35_occluded.png,59-M1 600.77,35.png,occluded,2line,59M160077,59M160077_2line,train
38_low.png,59-F1 219.26,38.png,low,2line,59F121926,59F121926_2line,train
38_medium.png,59-F1 219.26,38.png,medium,2line,59F121926,59F121926_2line,train
38_high.png,59-F1 219.26,38.png,high,2line,59F121926,59F121926_2line,train
38_occluded.png,59-F1 219.26,38.png,occluded,2line,59F121926,59F121926_2line,train
40_low.png,59-S2 316.06,40.png,low,2line,59S231606,59S231606_2line,train
40_medium.png,59-S2 316.06,40.png,medium,2line,59S231606,59S231606_2line,train
40_high.png,59-S2 316.06,40.png,high,2line,59S231606,59S231606_2line,train
40_occluded.png,59-S2 316.06,40.png,occluded,2line,59S231606,59S231606_2line,train
41_low.png,84-G1 225.93,41.png,low,2line,84G122593,84G122593_2line,train
41_medium.png,84-G1 225.93,41.png,medium,2line,84G122593,84G122593_2line,train
41_high.png,84-G1 225.93,41.png,high,2line,84G122593,84G122593_2line,train
41_occluded.png,84-G1 225.93,41.png,occluded,2line,84G122593,84G122593_2line,train
42_low.png,59-C2 281.14,42.png,low,2line,59C228114,59C228114_2line,train
