img,plate,source_img,augment_type
1_low.png,59-P1 332.02,1.png,low
1_medium.png,59-P1 332.02,1.png,medium
1_high.png,59-P1 332.02,1.png,high
1_occluded.png,59-P1 332.02,1.png,occluded
2_low.png,54-T1 4995,2.png,low
2_medium.png,54-T1 4995,2.png,medium
2_high.png,54-T1 4995,2.png,high
2_occluded.png,54-T1 4995,2.png,occluded
3_low.png,51-L4 1138,3.png,low
3_medium.png,51-L4 1138,3.png,medium
3_high.png,51-L4 1138,3.png,high
3_occluded.png,51-L4 1138,3.png,occluded
4_low.png,59-M1 760.54,4.png,low
4_medium.png,59-M1 760.54,4.png,medium
4_high.png,59-M1 760.54,4.png,high
4_occluded.png,59-M1 760.54,4.png,occluded
5_low.png,60-FP 1469,5.png,low
5_medium.png,60-FP 1469,5.png,medium
5_high.png,60-FP 1469,5.png,high
5_occluded.png,60-FP 1469,5.png,occluded
6_low.png,65-F1 315.32,6.png,low
6_medium.png,65-F1 315.32,6.png,medium
6_high.png,65-F1 315.32,6.png,high
6_occluded.png,65-F1 315.32,6.png,occluded
7_low.png,47-B1 770.40,7.png,low
7_medium.png,47-B1 770.40,7.png,medium
7_high.png,47-B1 770.40,7.png,high
7_occluded.png,47-B1 770.40,7.png,occluded
8_low.png,59-C2 305.13,8.png,low
8_medium.png,59-C2 305.13,8.png,medium
8_high.png,59-C2 305.13,8.png,high
8_occluded.png,59-C2 305.13,8.png,occluded
9_low.png,59-D1 856.19,9.png,low
9_medium.png,59-D1 856.19,9.png,medium
9_high.png,59-D1 856.19,9.png,high
9_occluded.png,59-D1 856.19,9.png,occluded
10_low.png,59-C2 550.06,10.png,low
10_medium.png,59-C2 550.06,10.png,medium
10_high.png,59-C2 550.06,10.png,high
10_occluded.png,59-C2 550.06,10.png,occluded
11_low.png,54-P1 1782,11.png,low
11_medium.png,54-P1 1782,11.png,medium
11_high.png,54-P1 1782,11.png,high
11_occluded.png,54-P1 1782,11.png,occluded
12_low.png,54-L3 6961,12.png,low
12_medium.png,54-L3 6961,12.png,medium
12_high.png,54-L3 6961,12.png,high
12_occluded.png,54-L3 6961,12.png,occluded
13_low.png,59-K1 223.23,13.png,low
13_medium.png,59-K1 223.23,13.png,medium
13_high.png,59-K1 223.23,13.png,high
13_occluded.png,59-K1 223.23,13.png,occluded
14_low.png,59-M1 217.04,14.png,low
14_medium.png,59-M1 217.04,14.png,medium
14_high.png,59-M1 217.04,14.png,high
14_occluded.png,59-M1 217.04,14.png,occluded
15_low.png,54-P2 4739,15.png,low
15_medium.png,54-P2 4739,15.png,medium
15_high.png,54-P2 4739,15.png,high
15_occluded.png,54-P2 4739,15.png,occluded
16_low.png,63-B3 044.26,16.png,low
16_medium.png,63-B3 044.26,16.png,medium
16_high.png,63-B3 044.26,16.png,high
16_occluded.png,63-B3 044.26,16.png,occluded
17_low.png,60-C1 237.74,17.png,low
17_medium.png,60-C1 237.74,17.png,medium
17_high.png,60-C1 237.74,17.png,high
17_occluded.png,60-C1 237.74,17.png,occluded
18_low.png,59-N1 695.75,18.png,low
18_medium.png,59-N1 695.75,18.png,medium
18_high.png,59-N1 695.75,18.png,high
18_occluded.png,59-N1 695.75,18.png,occluded
19_low.png,54-V2 5804,19.png,low
19_medium.png,54-V2 5804,19.png,medium
19_high.png,54-V2 5804,19.png,high
19_occluded.png,54-V2 5804,19.png,occluded
20_low.png,60-U2 3465,20.png,low
20_medium.png,60-U2 3465,20.png,medium
20_high.png,60-U2 3465,20.png,high
20_occluded.png,60-U2 3465,20.png,occluded
21_low.png,52-T8 5761,21.png,low
21_medium.png,52-T8 5761,21.png,medium
21_high.png,52-T8 5761,21.png,high
21_occluded.png,52-T8 5761,21.png,occluded
22_low.png,76-H1 175.50,22.png,low
22_medium.png,76-H1 175.50,22.png,medium
22_high.png,76-H1 175.50,22.png,high
22_occluded.png,76-H1 175.50,22.png,occluded
23_low.png,59-C2 593.92,23.png,low
23_medium.png,59-C2 593.92,23.png,medium
23_high.png,59-C2 593.92,23.png,high
23_occluded.png,59-C2 593.92,23.png,occluded
24_low.png,54-T3 0255,24.png,low
24_medium.png,54-T3 0255,24.png,medium
24_high.png,54-T3 0255,24.png,high
24_occluded.png,54-T3 0255,24.png,occluded
25_low.png,54-V3 9264,25.png,low
25_medium.png,54-V3 9264,25.png,medium
25_high.png,54-V3 9264,25.png,high
25_occluded.png,54-V3 9264,25.png,occluded
26_low.png,59-P2 189.00,26.png,low
26_medium.png,59-P2 189.00,26.png,medium
26_high.png,59-P2 189.00,26.png,high
26_occluded.png,59-P2 189.00,26.png,occluded
27_low.png,54-S8 4120,27.png,low
27_medium.png,54-S8 4120,27.png,medium
27_high.png,54-S8 4120,27.png,high
27_occluded.png,54-S8 4120,27.png,occluded
28_low.png,59-H1 439.86,28.png,low
28_medium.png,59-H1 439.86,28.png,medium
28_high.png,59-H1 439.86,28.png,high
28_occluded.png,59-H1 439.86,28.png,occluded
29_low.png,54-F2 8259,29.png,low
29_medium.png,54-F2 8259,29.png,medium
29_high.png,54-F2 8259,29.png,high
29_occluded.png,54-F2 8259,29.png,occluded
30_low.png,59-S2 235.46,30.png,low
30_medium.png,59-S2 235.46,30.png,medium
30_high.png,59-S2 235.46,30.png,high
30_occluded.png,59-S2 235.46,30.png,occluded
31_low.png,59-C1 397.80,31.png,low
31_medium.png,59-C1 397.80,31.png,medium
31_high.png,59-C1 397.80,31.png,high
31_occluded.png,59-C1 397.80,31.png,occluded
32_low.png,54-T1 7232,32.png,low
32_medium.png,54-T1 7232,32.png,medium
32_high.png,54-T1 7232,32.png,high
32_occluded.png,54-T1 7232,32.png,occluded
33_low.png,63-H3 1295,33.png,low
33_medium.png,63-H3 1295,33.png,medium
33_high.png,63-H3 1295,33.png,high
33_occluded.png,63-H3 1295,33.png,occluded
