img,plate,source_img,augment_type,plate_type
1_low.png,59-P1 332.02,1.png,low,2line
1_medium.png,59-P1 332.02,1.png,medium,2line
1_high.png,59-P1 332.02,1.png,high,2line
1_occluded.png,59-P1 332.02,1.png,occluded,2line
2_low.png,54-T1 4995,2.png,low,2line
2_medium.png,54-T1 4995,2.png,medium,2line
2_high.png,54-T1 4995,2.png,high,2line
2_occluded.png,54-T1 4995,2.png,occluded,2line
3_low.png,51-L4 1138,3.png,low,2line
3_medium.png,51-L4 1138,3.png,medium,2line
3_high.png,51-L4 1138,3.png,high,2line
3_occluded.png,51-L4 1138,3.png,occluded,2line
4_low.png,59-M1 760.54,4.png,low,2line
4_medium.png,59-M1 760.54,4.png,medium,2line
4_high.png,59-M1 760.54,4.png,high,2line
4_occluded.png,59-M1 760.54,4.png,occluded,2line
5_low.png,60-FP 1469,5.png,low,2line
5_medium.png,60-FP 1469,5.png,medium,2line
5_high.png,60-FP 1469,5.png,high,2line
5_occluded.png,60-FP 1469,5.png,occluded,2line
6_low.png,65-F1 315.32,6.png,low,2line
6_medium.png,65-F1 315.32,6.png,medium,2line
6_high.png,65-F1 315.32,6.png,high,2line
6_occluded.png,65-F1 315.32,6.png,occluded,2line
7_low.png,47-B1 770.40,7.png,low,2line
7_medium.png,47-B1 770.40,7.png,medium,2line
7_high.png,47-B1 770.40,7.png,high,2line
7_occluded.png,47-B1 770.40,7.png,occluded,2line
8_low.png,59-C2 305.13,8.png,low,2line
8_medium.png,59-C2 305.13,8.png,medium,2line
8_high.png,59-C2 305.13,8.png,high,2line
8_occluded.png,59-C2 305.13,8.png,occluded,2line
9_low.png,59-D1 856.19,9.png,low,2line
9_medium.png,59-D1 856.19,9.png,medium,2line
9_high.png,59-D1 856.19,9.png,high,2line
9_occluded.png,59-D1 856.19,9.png,occluded,2line
10_low.png,59-C2 550.06,10.png,low,2line
10_medium.png,59-C2 550.06,10.png,medium,2line
10_high.png,59-C2 550.06,10.png,high,2line
10_occluded.png,59-C2 550.06,10.png,occluded,2line
11_low.png,54-P1 1782,11.png,low,2line
